"Submission Date",団体番号,団体名,食品、展示物名,食品バザー・校内レク,紹介画像,紹介文
"Jul 24, 2025",210,弓道部,わたあめ,食品バザー,https://2dgmtq306i.ucarecd.net/53d6b424-8ebf-4b25-b0d0-324822a5e27c/64_20250718122937.png,弓道部がお届けするふわふわの甘さ。ひと口で笑顔になれるわたあめです。
"Jul 24, 2025",205,5M,肉まん,食品バザー,"https://2dgmtq306i.ucarecd.net/c296c685-1f74-4bda-be68-71928cbbd079/-/crop/1279x720/0,0/-/preview/5M_205.jpg",ミリ単位で計算された肉と皮の黄金比，止まらない肉汁．５年機械工学科の本気をご覧あれ．
"Jul 23, 2025",222,4S,焼き鳥,食品バザー,"https://2dgmtq306i.ucarecd.net/75e39a9a-51b8-4ee6-810b-d8ee1a3d460f/-/crop/1907x1071/0,9/-/preview/IMG_4733.PNG",焼き鳥無くして、祭り無し！4Sが燃えたぎる情熱で焼き上げます！焼き鳥と共に心をアツくさせませんか？
"Jul 23, 2025",226,バスケットボール部,ベビーカステラ,食品バザー,"https://2dgmtq306i.ucarecd.net/304de953-4fe3-426e-b21b-eec9fa57eeb5/-/crop/1920x1078/0,0/-/preview/IMG_8342.png","バスケ部特製！豆乳でヘルシー＆ふわふわすぎてカロリーゼロ 好きなだけお楽しみください！"
"Jul 22, 2025",228,女子バレーボール部,焼きおにぎり,食品バザー,https://2dgmtq306i.ucarecd.net/3abdf7a3-63ab-41af-96b5-c2d72399b29d/file.pdf,女子バレー部の焼きおにぎり是非食べに来てください！！
"Jul 22, 2025",209,硬式テニス部,じゃがバター,食品バザー,"https://2dgmtq306i.ucarecd.net/1bf2e204-1494-491d-992c-febdae05a88c/-/crop/1280x719/0,0/-/preview/IMG_5730.jpeg",硬式テニス部です！熱々ほくほくのじゃがバターを作ります！
"Jul 21, 2025",333,美術部,作品展＆ワークショップ,校内レク,"https://2dgmtq306i.ucarecd.net/95e8bac2-8967-4b7c-b91d-8954c843f84b/-/crop/1280x718/0,0/-/preview/539_20250721111415.png",部員たちが創りあげた作品とグッズ、みんなで楽しめるプラ板体験。是非お越しください！
"Jul 21, 2025",227,茶道部,お茶とお菓子,食品バザー,"https://2dgmtq306i.ucarecd.net/86e88b11-e0aa-4a17-8a24-0d2cf8a4ad78/-/crop/400x225/0,36/-/preview/277_20250721114212.png",目の前でお手前を見ながらお抹茶と栗きんとんを楽しめます！
"Jul 21, 2025",313,エコカープロジェクト,ぎょうざ,食品バザー,"https://2dgmtq306i.ucarecd.net/b9f0064b-8af7-4a34-a3a6-fa79111b9cc3/-/crop/2559x1437/0,0/-/preview/202_20250719181326.jpeg",2代目大将じゅんたもん｢餃子を開業するのも夢でした。ぜひご賞味あれ。｣
"Jul 18, 2025",232,野球部,焼きそば,食品バザー,"https://2dgmtq306i.ucarecd.net/4ef4ec00-bb04-4216-b148-df6f596fcf56/-/crop/1474x829/2,0/-/preview/1752821883444.jpg",毎年人気な野球部伝統の焼きそばです！出来立ての味をぜひ食べに来てください！
"Jul 18, 2025",223,空手道部,アイスクリーム,食品バザー,https://2dgmtq306i.ucarecd.net/4de64e23-b4a4-4443-b7d9-766b8742cc7b/F2B7431BB77E4BFDA106E134E0AC4C7D.jpeg,空手部が本気で届ける冷たく熱い一品！渾身のアイス、ぜひご賞味あれ！
